!! Predictions spanning range 4750 - 148622 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 18.13 4750-5823 orient(-) score(306378.00) noncoding_equivalent(16896.00) raw_noncoding(16896.00) offset(0.00) 
5823	4750	single-	4	6	{GlimmerHMM_glimmerT_1105-T1;GlimmerHMM},{GeneMark_model.1112_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 7.50 10982-13296 orient(-) score(663883.00) noncoding_equivalent(88483.49) raw_noncoding(109973.34) offset(21489.86) 
11023	10982	terminal-	4	6	{GeneMark_model.1113_t;GeneMark},{snap_scaffold_1-snap.958-T1;snap},{Augustus_model.g992.t1;Augustus}
11084	11024	INTRON			{GeneMark_model.1113_t;GeneMark},{snap_scaffold_1-snap.958-T1;snap},{Augustus_model.g992.t1;Augustus}
12406	11085	internal-	5	6	{GlimmerHMM_glimmerT_1107-T1;GlimmerHMM},{GeneMark_model.1113_t;GeneMark},{snap_scaffold_1-snap.958-T1;snap}
12472	12407	INTRON			{GlimmerHMM_glimmerT_1107-T1;GlimmerHMM},{GeneMark_model.1113_t;GeneMark},{snap_scaffold_1-snap.958-T1;snap},{Augustus_model.g992.t1;Augustus}
12642	12473	internal-	6	4	{GlimmerHMM_glimmerT_1107-T1;GlimmerHMM},{GeneMark_model.1113_t;GeneMark},{snap_scaffold_1-snap.958-T1;snap},{Augustus_model.g992.t1;Augustus}
12701	12643	INTRON			{GlimmerHMM_glimmerT_1107-T1;GlimmerHMM},{GeneMark_model.1113_t;GeneMark},{snap_scaffold_1-snap.958-T1;snap},{Augustus_model.g992.t1;Augustus}
12880	12702	internal-	4	5	{GeneMark_model.1113_t;GeneMark},{snap_scaffold_1-snap.958-T1;snap},{Augustus_model.g992.t1;Augustus}
12932	12881	INTRON			{GeneMark_model.1113_t;GeneMark},{snap_scaffold_1-snap.958-T1;snap},{Augustus_model.g992.t1;Augustus}
13130	12933	internal-	4	6	{GeneMark_model.1113_t;GeneMark},{snap_scaffold_1-snap.958-T1;snap},{Augustus_model.g992.t1;Augustus}
13215	13131	INTRON			{GlimmerHMM_glimmerT_1107-T1;GlimmerHMM},{GeneMark_model.1113_t;GeneMark},{Augustus_model.g992.t1;Augustus}
13296	13216	initial-	4	6	{GlimmerHMM_glimmerT_1107-T1;GlimmerHMM},{Augustus_model.g992.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 8.14 14010-15392 orient(+) score(375083.00) noncoding_equivalent(46107.04) raw_noncoding(71895.00) offset(25787.96) 
14010	14477	initial+	1	3	{GeneMark_model.1114_t;GeneMark},{Augustus_model.g993.t1;Augustus}
14478	14548	INTRON			{GeneMark_model.1114_t;GeneMark},{Augustus_model.g993.t1;Augustus}
14549	14613	internal+	1	2	{GeneMark_model.1114_t;GeneMark},{GlimmerHMM_glimmerT_1108-T1;GlimmerHMM},{Augustus_model.g993.t1;Augustus}
14614	14669	INTRON			{GeneMark_model.1114_t;GeneMark},{GlimmerHMM_glimmerT_1108-T1;GlimmerHMM},{Augustus_model.g993.t1;Augustus}
14670	14896	internal+	3	1	{GeneMark_model.1114_t;GeneMark},{GlimmerHMM_glimmerT_1108-T1;GlimmerHMM},{Augustus_model.g993.t1;Augustus}
14897	14964	INTRON			{GeneMark_model.1114_t;GeneMark},{GlimmerHMM_glimmerT_1108-T1;GlimmerHMM},{Augustus_model.g993.t1;Augustus}
14965	15392	terminal+	2	3	{GeneMark_model.1114_t;GeneMark},{GlimmerHMM_glimmerT_1108-T1;GlimmerHMM},{Augustus_model.g993.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 8.83 15605-16725 orient(-) score(298521.00) noncoding_equivalent(33824.47) raw_noncoding(64388.00) offset(30563.53) 
16365	15605	terminal-	5	6	{GeneMark_model.1115_t;GeneMark},{GlimmerHMM_glimmerT_1109-T1;GlimmerHMM},{Augustus_model.g994.t1;Augustus}
16434	16366	INTRON			{GeneMark_model.1115_t;GeneMark},{GlimmerHMM_glimmerT_1109-T1;GlimmerHMM},{Augustus_model.g994.t1;Augustus}
16503	16435	internal-	5	4	{GeneMark_model.1115_t;GeneMark},{GlimmerHMM_glimmerT_1109-T1;GlimmerHMM},{Augustus_model.g994.t1;Augustus}
16555	16504	INTRON			{GeneMark_model.1115_t;GeneMark},{Augustus_model.g994.t1;Augustus}
16577	16556	internal-	4	4	{GeneMark_model.1115_t;GeneMark},{Augustus_model.g994.t1;Augustus}
16644	16578	INTRON			{GeneMark_model.1115_t;GeneMark},{Augustus_model.g994.t1;Augustus}
16725	16645	initial-	4	6	{GeneMark_model.1115_t;GeneMark},{Augustus_model.g994.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 19067-19465 orient(+) score(120099.00) noncoding_equivalent(12.01) raw_noncoding(0.00) offset(0.00) 
19067	19465	single+	1	3	{Augustus_model.g995.t1;Augustus},{GlimmerHMM_glimmerT_1110-T1;GlimmerHMM},{GeneMark_model.1116_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.52 19835-20649 orient(-) score(163815.00) noncoding_equivalent(107863.00) raw_noncoding(135369.00) offset(27506.00) 
20001	19835	terminal-	5	6	{GeneMark_model.1117_t;GeneMark},{Augustus_model.g996.t1;Augustus},{GlimmerHMM_glimmerT_1111-T1;GlimmerHMM}
20087	20002	INTRON			{GeneMark_model.1117_t;GeneMark},{Augustus_model.g996.t1;Augustus},{GlimmerHMM_glimmerT_1111-T1;GlimmerHMM}
20385	20088	internal-	4	4	{GeneMark_model.1117_t;GeneMark},{Augustus_model.g996.t1;Augustus},{GlimmerHMM_glimmerT_1111-T1;GlimmerHMM}
20487	20386	INTRON			{GeneMark_model.1117_t;GeneMark},{Augustus_model.g996.t1;Augustus},{GlimmerHMM_glimmerT_1111-T1;GlimmerHMM}
20521	20488	internal-	6	6	{GeneMark_model.1117_t;GeneMark},{Augustus_model.g996.t1;Augustus},{GlimmerHMM_glimmerT_1111-T1;GlimmerHMM}
20602	20522	INTRON			{GeneMark_model.1117_t;GeneMark},{Augustus_model.g996.t1;Augustus},{GlimmerHMM_glimmerT_1111-T1;GlimmerHMM}
20649	20603	initial-	4	5	{GeneMark_model.1117_t;GeneMark},{Augustus_model.g996.t1;Augustus},{GlimmerHMM_glimmerT_1111-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 6.65 21078-23614 orient(+) score(763233.00) noncoding_equivalent(114785.36) raw_noncoding(118397.36) offset(3612.00) 
21078	21562	initial+	1	2	{Augustus_model.g997.t1;Augustus},{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}
21563	21615	INTRON			{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}
21616	21676	internal+	3	3	{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}
21677	21754	INTRON			{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}
