!! Predictions spanning range 71 - 1532 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 2.29 71-583 orient(-) score(145913.00) noncoding_equivalent(63666.00) raw_noncoding(66234.00) offset(2568.00) 
220	71	terminal-	4	6	{Augustus_model.g9346.t1;Augustus},{snap_scaffold_828-snap.1-T1;snap}
286	221	INTRON			{Augustus_model.g9346.t1;Augustus},{snap_scaffold_828-snap.1-T1;snap},{GeneMark_model.11129_t;GeneMark}
356	287	internal-	6	6	{Augustus_model.g9346.t1;Augustus},{snap_scaffold_828-snap.1-T1;snap},{GeneMark_model.11129_t;GeneMark}
421	357	INTRON			{GlimmerHMM_glimmerT_11348-T1;GlimmerHMM},{Augustus_model.g9346.t1;Augustus},{snap_scaffold_828-snap.1-T1;snap},{GeneMark_model.11129_t;GeneMark}
434	422	internal-	5	5	{GlimmerHMM_glimmerT_11348-T1;GlimmerHMM},{Augustus_model.g9346.t1;Augustus},{snap_scaffold_828-snap.1-T1;snap},{GeneMark_model.11129_t;GeneMark}
483	435	INTRON			{GlimmerHMM_glimmerT_11348-T1;GlimmerHMM},{Augustus_model.g9346.t1;Augustus},{snap_scaffold_828-snap.1-T1;snap},{GeneMark_model.11129_t;GeneMark}
517	484	internal-	4	4	{GlimmerHMM_glimmerT_11348-T1;GlimmerHMM},{Augustus_model.g9346.t1;Augustus},{snap_scaffold_828-snap.1-T1;snap},{GeneMark_model.11129_t;GeneMark}
571	518	INTRON			{GlimmerHMM_glimmerT_11348-T1;GlimmerHMM},{Augustus_model.g9346.t1;Augustus},{snap_scaffold_828-snap.1-T1;snap},{GeneMark_model.11129_t;GeneMark}
583	572	initial-	4	6	{GlimmerHMM_glimmerT_11348-T1;GlimmerHMM},{Augustus_model.g9346.t1;Augustus},{snap_scaffold_828-snap.1-T1;snap},{GeneMark_model.11129_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 7.65 815-1532 orient(+) score(208850.00) noncoding_equivalent(27301.00) raw_noncoding(27968.00) offset(667.00) 
815	1164	initial+	1	2	{Augustus_model.g9347.t1;Augustus},{GeneMark_model.11130_t;GeneMark},{GlimmerHMM_glimmerT_11349-T1;GlimmerHMM},{snap_scaffold_828-snap.2-T1;snap}
1165	1233	INTRON			{GeneMark_model.11130_t;GeneMark},{GlimmerHMM_glimmerT_11349-T1;GlimmerHMM},{snap_scaffold_828-snap.2-T1;snap}
1234	1532	internal+	3	1	{GeneMark_model.11130_t;GeneMark},{snap_scaffold_828-snap.2-T1;snap}

