#HMM_family	HMM_len	Query_ID	Query_len	E-value	HMM_start	HMM_end	Query_start	Query_end	Coverage
GH72	312	FUN_005761-T1	515	1.2e-119	2	311	18	332	0.990385
GH47	446	FUN_005768-T1	565	1e-155	1	446	101	563	0.997758
GH18	296	FUN_005771-T1	1471	1.7e-50	4	281	505	854	0.935811
GH76	358	FUN_005787-T1	471	1.5e-93	2	333	18	366	0.924581
GH72	312	FUN_005788-T1	516	4.6e-112	2	311	41	360	0.990385
GT32	90	FUN_005868-T1	366	3.9e-19	7	89	113	193	0.911111
GH3	216	FUN_005897-T1	370	3e-39	7	215	100	324	0.962963
AA7	458	FUN_005902-T1	583	1.1e-56	20	452	130	561	0.943231
GH37	491	FUN_005959-T1	682	5.9e-157	1	489	50	626	0.993890
CE4	130	FUN_005962-T1	324	2.4e-32	6	125	109	238	0.915385
GH76	358	FUN_006010-T1	576	1.3e-89	9	350	26	400	0.952514
GH16_22	216	FUN_006068-T1	390	1.7e-88	2	216	88	312	0.990741
GH16	189	FUN_006068-T1	390	8.5e-24	9	188	85	312	0.947090
GH16_23	192	FUN_006068-T1	390	2.6e-19	8	190	135	311	0.947917
GH16	189	FUN_006091-T1	353	3.2e-30	10	176	106	325	0.878307
AA4	522	FUN_006125-T1	494	9.6e-30	14	248	1	229	0.448276
AA7	458	FUN_006125-T1	494	1.8e-20	5	195	32	235	0.414847
AA3	618	FUN_006162-T1	1058	3.2e-43	82	611	53	649	0.855987
AA3_1	548	FUN_006162-T1	1058	1.4e-20	13	276	57	344	0.479927
GT2_Glyco_tranf_2_3	230	FUN_006334-T1	790	1.7e-20	3	229	265	498	0.982609
GH12	156	FUN_006335-T1	338	1.4e-23	1	156	155	337	0.993590
GH47	446	FUN_006365-T1	727	4.4e-163	2	446	202	725	0.995516
GH5_12	539	FUN_006367-T1	752	1.1e-220	0	539	14	548	1.000000
GH5	275	FUN_006367-T1	752	2.1e-27	3	237	14	548	0.850909
CE5	189	FUN_006381-T1	240	1.4e-37	2	188	29	238	0.984127
GH79	455	FUN_006419-T1	495	5.1e-61	2	395	26	427	0.863736
GT69	239	FUN_006426-T1	543	5.1e-68	0	238	136	413	0.995816
GH16_1	229	FUN_006524-T1	378	2.2e-82	1	229	120	356	0.995633
GH3	216	FUN_006550-T1	762	1.1e-57	2	216	78	292	0.990741
AA3_2	568	FUN_006551-T1	572	2.5e-127	2	567	14	558	0.994718
AA3	618	FUN_006551-T1	572	5.7e-74	88	406	13	565	0.514563
AA3_3	590	FUN_006551-T1	572	2.8e-56	3	317	15	320	0.532203
GT3	637	FUN_006579-T1	712	1.7e-302	0	637	18	658	1.000000
GH88	329	FUN_006620-T1	506	2e-86	1	325	91	496	0.984802
GH154	348	FUN_006621-T1	706	2.5e-122	1	347	14	394	0.994253
GH136	491	FUN_006622-T1	486	2.8e-83	2	490	20	481	0.993890
GT32	90	FUN_006681-T1	396	1.2e-18	8	89	94	177	0.900000
GT8	257	FUN_006683-T1	396	8.8e-19	49	246	113	336	0.766537
AA3_2	568	FUN_006695-T1	674	1.2e-176	0	566	90	669	0.996479
AA3	618	FUN_006695-T1	674	8.1e-88	86	398	89	670	0.504854
AA3_3	590	FUN_006695-T1	674	1.6e-59	0	461	90	569	0.781356
GT20	475	FUN_006699-T1	604	2.3e-125	46	469	104	581	0.890526
GH20	337	FUN_006700-T1	579	1.8e-83	5	336	182	528	0.982196
GH29	346	FUN_006706-T1	478	2.9e-49	40	339	49	371	0.864162
CE5	189	FUN_006716-T1	251	2e-41	1	188	82	249	0.989418
GH88	329	FUN_006731-T1	514	7.9e-82	3	325	97	504	0.978723
GH47	446	FUN_006752-T1	695	5.7e-164	0	446	168	662	1.000000
GT21	233	FUN_006857-T1	526	2.3e-89	0	233	50	354	1.000000
AA3_3	590	FUN_006863-T1	610	6.7e-261	1	590	8	607	0.998305
AA3_2	568	FUN_006863-T1	610	4.7e-120	1	566	8	603	0.994718
AA3	618	FUN_006863-T1	610	3.8e-81	83	401	3	606	0.514563
AA3_1	548	FUN_006863-T1	610	2.4e-40	13	286	6	295	0.498175
GT33	425	FUN_006890-T1	475	3.2e-137	2	424	50	467	0.992941
GT35	674	FUN_006903-T1	901	6.2e-279	1	674	179	895	0.998516
AA7	458	FUN_006922-T1	533	5e-46	12	214	74	280	0.441048
GH20	337	FUN_006934-T1	599	5.4e-85	8	336	207	550	0.973294
GH2	752	FUN_006953-T1	1016	5.5e-206	21	750	42	897	0.969415
GH16_3	230	FUN_006968-T1	284	2.1e-54	0	230	31	281	1.000000
GH16	189	FUN_006968-T1	284	1.2e-36	1	187	31	279	0.984127
GH16_5	238	FUN_006968-T1	284	3.3e-21	76	234	85	277	0.663866
CE1	227	FUN_006999-T1	285	1.6e-45	0	226	22	281	0.995595
GT4	160	FUN_007015-T1	556	1.5e-22	7	149	360	516	0.887500
GH2	752	FUN_007043-T1	895	1.8e-57	48	543	60	729	0.658245
GT17	284	FUN_007054-T1	384	6e-76	3	283	64	358	0.985915
GH16_18	158	FUN_007064-T1	336	1.5e-67	1	158	26	184	0.993671
GH16_19	174	FUN_007064-T1	336	4.7e-42	15	172	31	185	0.902299
GH16_21	206	FUN_007064-T1	336	3e-23	62	190	46	177	0.621359
GH16	189	FUN_007064-T1	336	9.7e-23	55	188	41	202	0.703704
GT34	246	FUN_007082-T1	447	2.8e-83	1	245	143	408	0.991870
GT4	160	FUN_007107-T1	448	1e-34	4	142	280	446	0.862500
GH3	216	FUN_007110-T1	957	2e-56	2	214	298	515	0.981481
GH76	358	FUN_007113-T1	468	2.5e-98	8	356	25	410	0.972067
GT2_Chitin_synth_1	163	FUN_007125-T1	923	6.7e-71	0	163	229	398	1.000000
GH55	740	FUN_007213-T1	775	2.3e-301	5	739	30	773	0.991892
GH18	296	FUN_007233-T1	372	2.1e-55	1	285	19	360	0.959459
GT8	257	FUN_007334-T1	311	5.5e-38	21	255	7	274	0.910506
AA2	255	FUN_007346-T1	946	1.2e-40	10	115	271	377	0.411765
CE4	130	FUN_007354-T1	528	2.3e-19	23	127	261	368	0.800000
GH43_6	292	FUN_007390-T1	203	4.3e-20	94	241	0	171	0.503425
GH114	190	FUN_007391-T1	355	1.4e-37	8	190	44	256	0.957895
GH75	220	FUN_007514-T1	187	2.6e-62	65	219	17	183	0.700000
GT61	119	FUN_007530-T1	397	8.3e-27	4	119	198	324	0.966387
AA7	458	FUN_007534-T1	565	5.2e-51	18	214	123	332	0.427948
GH72	312	FUN_007543-T1	443	3e-119	3	310	24	329	0.983974
AA3_2	568	FUN_007550-T1	649	2e-97	1	567	27	645	0.996479
AA3	618	FUN_007550-T1	649	2.6e-80	87	400	26	646	0.506472
GH16_18	158	FUN_007551-T1	534	9.4e-67	1	158	67	225	0.993671
GH16_19	174	FUN_007551-T1	534	3.7e-44	16	174	73	228	0.908046
GH16_21	206	FUN_007551-T1	534	8.3e-26	49	184	74	212	0.655340
GH16	189	FUN_007551-T1	534	2.1e-25	51	186	78	241	0.714286
GH16_25	163	FUN_007551-T1	534	1.8e-19	7	158	84	239	0.926380
GH16_27	138	FUN_007551-T1	534	1.9e-18	40	132	113	211	0.666667
