!! Predictions spanning range 17 - 7698 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 41.01 17-2997 orient(-) score(880472.00) noncoding_equivalent(21471.07) raw_noncoding(26768.00) offset(5296.93) 
2701	17	internal-	4	6	{snap_scaffold_501-snap.1-T1;snap}
2751	2702	INTRON			{GeneMark_model.10756_t;GeneMark},{snap_scaffold_501-snap.1-T1;snap}
2997	2752	initial-	4	6	{GeneMark_model.10756_t;GeneMark},{snap_scaffold_501-snap.1-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 15.00 4524-6193 orient(+) score(501170.00) noncoding_equivalent(33406.00) raw_noncoding(34610.00) offset(1204.00) 
4524	4583	initial+	1	3	{Augustus_model.g9067.t1;Augustus},{GeneMark_model.10757_t;GeneMark},{snap_scaffold_501-snap.2-T1;snap}
4584	4641	INTRON			{Augustus_model.g9067.t1;Augustus},{GeneMark_model.10757_t;GeneMark},{GlimmerHMM_glimmerT_10912-T1;GlimmerHMM},{snap_scaffold_501-snap.2-T1;snap}
4642	6009	internal+	1	3	{Augustus_model.g9067.t1;Augustus},{GeneMark_model.10757_t;GeneMark},{GlimmerHMM_glimmerT_10912-T1;GlimmerHMM},{snap_scaffold_501-snap.2-T1;snap}
6010	6061	INTRON			{Augustus_model.g9067.t1;Augustus},{GeneMark_model.10757_t;GeneMark},{GlimmerHMM_glimmerT_10912-T1;GlimmerHMM},{snap_scaffold_501-snap.2-T1;snap}
6062	6193	terminal+	1	3	{Augustus_model.g9067.t1;Augustus},{GeneMark_model.10757_t;GeneMark},{GlimmerHMM_glimmerT_10912-T1;GlimmerHMM},{snap_scaffold_501-snap.2-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 8.09 6592-7698 orient(+) score(328157.00) noncoding_equivalent(40568.00) raw_noncoding(41170.00) offset(602.00) 
6592	6848	initial+	1	2	{snap_scaffold_501-snap.3-T1;snap},{GlimmerHMM_glimmerT_10913-T1;GlimmerHMM},{Augustus_model.g9068.t1;Augustus},{GeneMark_model.10758_t;GeneMark}
6849	6968	INTRON			{snap_scaffold_501-snap.3-T1;snap},{GlimmerHMM_glimmerT_10913-T1;GlimmerHMM},{Augustus_model.g9068.t1;Augustus},{GeneMark_model.10758_t;GeneMark}
6969	7698	internal+	3	3	{snap_scaffold_501-snap.3-T1;snap}

