#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
EGX94937.1           -           1260 5033at5125           -            715  9.2e-242  803.5 116.3   1   9  7.3e-124  3.5e-120  401.6  19.8     2   314    28   429    27   433 0.83 GATA transcription factor (Ams2), putative [Cordyceps militaris CM01]
EGX94937.1           -           1260 5033at5125           -            715  9.2e-242  803.5 116.3   2   9         1   5.1e+03   -5.5   6.3   299   317   442   460   430   468 0.77 GATA transcription factor (Ams2), putative [Cordyceps militaris CM01]
EGX94937.1           -           1260 5033at5125           -            715  9.2e-242  803.5 116.3   3   9   1.8e-08   8.9e-05   20.1   0.2   321   347   507   533   502   554 0.84 GATA transcription factor (Ams2), putative [Cordyceps militaris CM01]
EGX94937.1           -           1260 5033at5125           -            715  9.2e-242  803.5 116.3   4   9      0.21     1e+03   -3.2  19.3   283   391   564   677   545   680 0.56 GATA transcription factor (Ams2), putative [Cordyceps militaris CM01]
EGX94937.1           -           1260 5033at5125           -            715  9.2e-242  803.5 116.3   5   9   2.5e-06     0.012   13.1   2.9   347   387   679   727   664   745 0.86 GATA transcription factor (Ams2), putative [Cordyceps militaris CM01]
EGX94937.1           -           1260 5033at5125           -            715  9.2e-242  803.5 116.3   6   9   3.2e-93   1.5e-89  300.3   6.6   394   572   779   971   749   984 0.88 GATA transcription factor (Ams2), putative [Cordyceps militaris CM01]
EGX94937.1           -           1260 5033at5125           -            715  9.2e-242  803.5 116.3   7   9   5.1e-24   2.5e-20   71.6   0.1   560   620   988  1050   977  1070 0.86 GATA transcription factor (Ams2), putative [Cordyceps militaris CM01]
EGX94937.1           -           1260 5033at5125           -            715  9.2e-242  803.5 116.3   8   9   7.7e-10   3.7e-06   24.7  14.0   621   672  1080  1152  1074  1193 0.66 GATA transcription factor (Ams2), putative [Cordyceps militaris CM01]
EGX94937.1           -           1260 5033at5125           -            715  9.2e-242  803.5 116.3   9   9   9.9e-06     0.048   11.1   0.0   687   714  1213  1243  1198  1244 0.78 GATA transcription factor (Ams2), putative [Cordyceps militaris CM01]
EGX89529.1           -            917 5033at5125           -            715      0.11   10.0   0.9   1   1   3.1e-05      0.15    9.5   0.9   630   671     6    47     2    69 0.77 hypothetical protein CCM_07781 [Cordyceps militaris CM01]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/5033at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cmilitaris_CM01.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cmilitaris_CM01/run_hypocreales_odb10/hmmer_output/initial_run_results/5033at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/5033at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cmilitaris_CM01.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:15:04 2024
# [ok]
