!! Predictions spanning range 1417 - 25041 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 4.84 1417-3774 orient(+) score(588315.00) noncoding_equivalent(121443.00) raw_noncoding(121443.00) offset(0.00) 
1417	3774	single+	1	3	{GlimmerHMM_glimmerT_10078-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.25 6117-6857 orient(-) score(143963.00) noncoding_equivalent(64067.75) raw_noncoding(87246.64) offset(23178.89) 
6281	6117	terminal-	4	6	{GeneMark_model.9957_t;GeneMark}
6365	6282	INTRON			{GeneMark_model.9957_t;GeneMark}
6528	6366	internal-	6	6	{GeneMark_model.9957_t;GeneMark}
6594	6529	INTRON			{GeneMark_model.9957_t;GeneMark}
6857	6595	initial-	4	5	{GeneMark_model.9957_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.19 8307-10761 orient(+) score(554399.00) noncoding_equivalent(173847.61) raw_noncoding(197537.62) offset(23690.02) 
8307	8555	initial+	1	3	{snap_scaffold_331-snap.3-T1;snap},{GeneMark_model.9958_t;GeneMark},{GlimmerHMM_glimmerT_10081-T1;GlimmerHMM}
8556	8643	INTRON			{Augustus_model.g8456.t1;Augustus},{snap_scaffold_331-snap.3-T1;snap},{GeneMark_model.9958_t;GeneMark},{GlimmerHMM_glimmerT_10081-T1;GlimmerHMM}
8644	9042	internal+	1	3	{snap_scaffold_331-snap.3-T1;snap}
9043	9163	INTRON			{snap_scaffold_331-snap.3-T1;snap}
9164	10233	internal+	1	2	{snap_scaffold_331-snap.3-T1;snap}
10234	10283	INTRON			{Augustus_model.g8456.t1;Augustus},{GeneMark_model.9958_t;GeneMark}
10284	10761	terminal+	3	3	{Augustus_model.g8456.t1;Augustus},{GeneMark_model.9958_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 39.41 11424-12260 orient(-) score(245537.00) noncoding_equivalent(6230.39) raw_noncoding(6230.39) offset(0.00) 
12260	11424	single-	4	6	{GlimmerHMM_glimmerT_10083-T1;GlimmerHMM},{Augustus_model.g8457.t1;Augustus},{GeneMark_model.9959_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.77 13012-14923 orient(+) score(477020.00) noncoding_equivalent(99918.73) raw_noncoding(133394.56) offset(33475.84) 
13012	13303	initial+	1	1	{GeneMark_model.9960_t;GeneMark},{snap_scaffold_331-snap.5-T1;snap}
13304	13370	INTRON			{GeneMark_model.9960_t;GeneMark},{Augustus_model.g8458.t1;Augustus},{snap_scaffold_331-snap.5-T1;snap},{GlimmerHMM_glimmerT_10085-T1;GlimmerHMM}
13371	14117	internal+	2	1	{GeneMark_model.9960_t;GeneMark},{GlimmerHMM_glimmerT_10085-T1;GlimmerHMM}
14118	14194	INTRON			{GeneMark_model.9960_t;GeneMark}
14195	14225	internal+	2	2	{GeneMark_model.9960_t;GeneMark},{Augustus_model.g8458.t1;Augustus}
14226	14296	INTRON			{GeneMark_model.9960_t;GeneMark},{Augustus_model.g8458.t1;Augustus}
14297	14860	internal+	3	2	{GeneMark_model.9960_t;GeneMark}
14861	14898	INTRON			{snap_scaffold_331-snap.5-T1;snap}
14899	14923	terminal+	3	3	{snap_scaffold_331-snap.5-T1;snap}

