#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TQW11007.1           -            916 7285at5125           -            598         0 1094.0  23.1   1   5      0.25   1.4e+03   -3.3   0.0    18    42    81   104    77   116 0.75 phosphatidylinositol-4-phosphate 5-kinase its3 [Cordyceps javanica]
TQW11007.1           -            916 7285at5125           -            598         0 1094.0  23.1   2   5     0.083   4.6e+02   -1.7   0.6   548   590   136   184   127   195 0.68 phosphatidylinositol-4-phosphate 5-kinase its3 [Cordyceps javanica]
TQW11007.1           -            916 7285at5125           -            598         0 1094.0  23.1   3   5         0         0 1090.2   9.2    32   554   200   763   179   805 0.91 phosphatidylinositol-4-phosphate 5-kinase its3 [Cordyceps javanica]
TQW11007.1           -            916 7285at5125           -            598         0 1094.0  23.1   4   5     3e-05      0.17    9.6   0.5   535   583   804   853   799   869 0.65 phosphatidylinositol-4-phosphate 5-kinase its3 [Cordyceps javanica]
TQW11007.1           -            916 7285at5125           -            598         0 1094.0  23.1   5   5      0.16   8.7e+02   -2.6   0.0   576   598   883   905   881   905 0.88 phosphatidylinositol-4-phosphate 5-kinase its3 [Cordyceps javanica]
TQW07677.1           -           2205 7285at5125           -            598    0.0022   15.9   0.2   1   3         2   1.1e+04   -8.9   5.6     9    86   132   208   127   215 0.81 1-phosphatidylinositol-3-phosphate 5-kinase (Fab1) [Cordyceps javanica]
TQW07677.1           -           2205 7285at5125           -            598    0.0022   15.9   0.2   2   3   3.9e-07    0.0022   15.9   0.2   300   394  2022  2114  1951  2118 0.77 1-phosphatidylinositol-3-phosphate 5-kinase (Fab1) [Cordyceps javanica]
TQW07677.1           -           2205 7285at5125           -            598    0.0022   15.9   0.2   3   3    0.0055        31    2.2   0.0   484   530  2120  2169  2113  2179 0.78 1-phosphatidylinositol-3-phosphate 5-kinase (Fab1) [Cordyceps javanica]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/7285at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_IJ2G.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cjavanica_IJ2G/run_hypocreales_odb10/hmmer_output/initial_run_results/7285at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/7285at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_IJ2G.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:07:57 2024
# [ok]
