!! Predictions spanning range 1045 - 96779 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 12.86 1045-1872 orient(-) score(308079.00) noncoding_equivalent(23949.00) raw_noncoding(23949.00) offset(0.00) 
1872	1045	single-	4	6	{GeneMark_model.10585_t;GeneMark},{other_pred1_mRNA_10591;other_pred1}

# EVM prediction: Mode:STANDARD S-ratio: 1.12 3921-4639 orient(+) score(143800.00) noncoding_equivalent(128276.04) raw_noncoding(134536.04) offset(6260.00) 
3921	4034	initial+	1	3	{GeneMark_model.10586_t;GeneMark},{other_pred1_mRNA_10592;other_pred1}
4035	4096	INTRON			{GeneMark_model.10586_t;GeneMark},{other_pred1_mRNA_10592;other_pred1}
4097	4639	terminal+	1	3	{GeneMark_model.10586_t;GeneMark},{other_pred1_mRNA_10592;other_pred1}

# EVM prediction: Mode:STANDARD S-ratio: 2.29 4782-6424 orient(-) score(410518.00) noncoding_equivalent(178887.18) raw_noncoding(293688.00) offset(114800.82) 
5016	4782	terminal-	6	6	{GlimmerHMM_glimmerT_10556-T1;GlimmerHMM},{other_pred1_mRNA_10593;other_pred1},{Augustus_model.g8290.t1;Augustus},{GeneMark_model.10587_t;GeneMark}
5597	5017	INTRON			{other_pred1_mRNA_10593;other_pred1},{GeneMark_model.10587_t;GeneMark}
6174	5598	internal-	5	5	{other_pred1_mRNA_10593;other_pred1},{GeneMark_model.10587_t;GeneMark}
6235	6175	INTRON			{other_pred1_mRNA_10593;other_pred1},{Augustus_model.g8290.t1;Augustus},{GeneMark_model.10587_t;GeneMark}
6338	6236	internal-	4	4	{other_pred1_mRNA_10593;other_pred1},{Augustus_model.g8290.t1;Augustus},{GeneMark_model.10587_t;GeneMark}
6388	6339	INTRON			{other_pred1_mRNA_10593;other_pred1},{Augustus_model.g8290.t1;Augustus},{GeneMark_model.10587_t;GeneMark}
6424	6389	initial-	4	6	{other_pred1_mRNA_10593;other_pred1},{Augustus_model.g8290.t1;Augustus},{GeneMark_model.10587_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 26.42 9327-10128 orient(-) score(315424.00) noncoding_equivalent(11937.00) raw_noncoding(16639.00) offset(4702.00) 
