#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8720830.1         -            983 4538at5125           -            723         0 1338.8  46.2   1   3  2.9e-115  4.7e-112  374.6   0.4     1   179     1   186     1   222 0.91 Phosphatidylinositol 4-kinase PIK1alpha [Beauveria bassiana]
KAH8720830.1         -            983 4538at5125           -            723         0 1338.8  46.2   2   3  7.1e-122  1.1e-118  396.5  38.3   170   471   232   634   214   645 0.79 Phosphatidylinositol 4-kinase PIK1alpha [Beauveria bassiana]
KAH8720830.1         -            983 4538at5125           -            723         0 1338.8  46.2   3   3  1.4e-170  2.3e-167  557.5   0.0   459   723   645   931   637   931 0.95 Phosphatidylinositol 4-kinase PIK1alpha [Beauveria bassiana]
KAH8720607.1         -           1947 4538at5125           -            723   2.2e-34  117.8   0.3   1   2      0.54   8.7e+02   -3.1   0.0   458   496   715   756   712   772 0.71 Phosphatidylinositol 4-kinase STT4 [Beauveria bassiana]
KAH8720607.1         -           1947 4538at5125           -            723   2.2e-34  117.8   0.3   2   2   5.3e-37   8.4e-34  115.9   0.2   524   714  1691  1878  1683  1886 0.85 Phosphatidylinositol 4-kinase STT4 [Beauveria bassiana]
KAH8711128.1         -            894 4538at5125           -            723   2.3e-16   58.3   0.0   1   1   2.3e-19   3.7e-16   57.6   0.0   525   708   638   812   624   827 0.81 Phosphatidylinositol 3-kinase catalytic subunit type 3 [Beauveria bassiana]
KAH8720807.1         -           2949 4538at5125           -            723   1.7e-08   32.3   0.0   1   1   3.9e-11   6.3e-08   30.4   0.0   604   694  2703  2795  2588  2819 0.64 Serine/threonine-protein kinase TEL1 [Beauveria bassiana]
KAH8708295.1         -           2424 4538at5125           -            723   4.2e-07   27.7   0.0   1   2      0.68   1.1e+03   -3.5   0.0    69   111   143   185   132   200 0.80 Serine/threonine-protein kinase tor2 [Beauveria bassiana]
KAH8708295.1         -           2424 4538at5125           -            723   4.2e-07   27.7   0.0   2   2   7.6e-10   1.2e-06   26.1   0.0   624   687  2177  2242  2162  2278 0.77 Serine/threonine-protein kinase tor2 [Beauveria bassiana]
KAH8711053.1         -           2437 4538at5125           -            723   2.5e-06   25.1   0.0   1   1   2.6e-09   4.2e-06   24.4   0.0   623   696  2258  2332  2238  2354 0.85 Protein kinase rad3 [Beauveria bassiana]
KAH8709658.1         -            609 4538at5125           -            723     0.013   12.8   0.1   1   2      0.12     2e+02   -1.0   0.0   128   161   186   219   181   223 0.87 Efflux pump FUBT [Beauveria bassiana]
KAH8709658.1         -            609 4538at5125           -            723     0.013   12.8   0.1   2   2   3.5e-05     0.055   10.7   0.0   136   167   396   427   391   435 0.89 Efflux pump FUBT [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/4538at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_JEF-350/run_hypocreales_odb10/hmmer_output/initial_run_results/4538at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/4538at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:25:13 2024
# [ok]
