#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
EGX90184.1           -            238 47511at5125          -            202   6.1e-99  328.6   0.6   1   1  5.1e-102   8.2e-99  328.2   0.6     4   202     8   232     4   232 0.91 glycerol-3-phosphate phosphatase [Cordyceps militaris CM01]
EGX94838.1           -            826 47511at5125          -            202   4.3e-05   22.2   0.2   1   2      0.29   4.7e+02   -0.8   0.0     7    32   580   605   576   628 0.71 cytochrome P450 pisatin demethylase, putative [Cordyceps militaris CM01]
EGX94838.1           -            826 47511at5125          -            202   4.3e-05   22.2   0.2   2   2   1.6e-07   0.00026   19.6   0.1   121   170   730   785   663   796 0.73 cytochrome P450 pisatin demethylase, putative [Cordyceps militaris CM01]
EGX88665.1           -            296 47511at5125          -            202    0.0005   18.7   0.1   1   2   0.00057      0.92    8.0   0.0    12    38    27    53    16   126 0.80 haloacid dehalogenase-like hydrolase, putative [Cordyceps militaris CM01]
EGX88665.1           -            296 47511at5125          -            202    0.0005   18.7   0.1   2   2   0.00057      0.92    8.0   0.0   145   166   211   232   175   242 0.79 haloacid dehalogenase-like hydrolase, putative [Cordyceps militaris CM01]
EGX91399.1           -            234 47511at5125          -            202     0.013   14.0   0.3   1   2    0.0043       6.9    5.1   0.0    11    25    23    37    15    55 0.86 HAD superfamily hydrolase, putative [Cordyceps militaris CM01]
EGX91399.1           -            234 47511at5125          -            202     0.013   14.0   0.3   2   2    0.0013       2.1    6.8   0.1   144   191   172   219   165   226 0.85 HAD superfamily hydrolase, putative [Cordyceps militaris CM01]
EGX91496.1           -            284 47511at5125          -            202     0.015   13.8   0.0   1   2      0.08   1.3e+02    1.0   0.0    15    26    13    24     5    34 0.87 HAD superfamily hydrolase, putative [Cordyceps militaris CM01]
EGX91496.1           -            284 47511at5125          -            202     0.015   13.8   0.0   2   2   0.00017      0.27    9.8   0.0   145   166   200   221   195   226 0.93 HAD superfamily hydrolase, putative [Cordyceps militaris CM01]
EGX93701.1           -            285 47511at5125          -            202     0.058   11.9   0.0   1   2       1.2     2e+03   -2.9   0.0    11    31    11    31     8    38 0.79 haloacid dehalogenase, type II [Cordyceps militaris CM01]
EGX93701.1           -            285 47511at5125          -            202     0.058   11.9   0.0   2   2   7.9e-05      0.13   10.8   0.0   116   165   186   239   127   245 0.76 haloacid dehalogenase, type II [Cordyceps militaris CM01]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/47511at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cmilitaris_CM01.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cmilitaris_CM01/run_hypocreales_odb10/hmmer_output/initial_run_results/47511at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/47511at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cmilitaris_CM01.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:14:50 2024
# [ok]
