# BUSCO version is: 2.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of species: 50, number of BUSCOs: 4494)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/Epichloefestucae_ROSECITY/FunannotatePredict/predict_misc/busco_augustus.proteins.fasta -o epichloe_festucae_rosecity -l /home/zack/funannotate_db/hypocreales_odb10/ -m proteins -c 12 -sp anidulans
#
# Busco id	Status	Sequence	Score	Length
10002at5125	Complete	gene822.t1	1354.9	663
10007at5125	Complete	gene823.t1	956.4	651
10011at5125	Complete	gene824.t1	939.5	612
10012at5125	Missing
10018at5125	Complete	gene825.t1	959.4	575
10029at5125	Complete	gene826.t1	952.3	510
10042at5125	Complete	gene827.t1	940.4	543
10046at5125	Complete	gene828.t1	1057.2	559
10056at5125	Complete	gene829.t1	1114.5	626
10058at5125	Missing
10061at5125	Complete	gene830.t1	945.0	686
10062at5125	Complete	gene831.t1	937.6	771
10086at5125	Complete	gene832.t1	896.6	503
10109at5125	Complete	gene833.t1	1064.0	560
10123at5125	Complete	gene834.t1	1009.4	494
10132at5125	Complete	gene835.t1	1274.1	656
10143at5125	Missing
10152at5125	Complete	gene836.t1	875.8	453
10163at5125	Complete	gene837.t1	1003.3	554
10164at5125	Complete	gene838.t1	1109.4	561
10167at5125	Complete	gene839.t1	921.0	511
10177at5125	Complete	gene840.t1	724.4	642
10181at5125	Complete	gene841.t1	918.8	509
10185at5125	Complete	gene842.t1	610.2	697
10188at5125	Complete	gene843.t1	872.6	792
1018at5125	Complete	gene74.t1	2545.2	1543
10190at5125	Complete	gene844.t1	1305.7	861
10241at5125	Complete	gene845.t1	813.9	608
10245at5125	Complete	gene846.t1	778.7	592
10250at5125	Complete	gene847.t1	460.1	280
10256at5125	Complete	gene848.t1	1068.5	536
1027at5125	Complete	gene75.t1	1628.0	1199
10280at5125	Complete	gene849.t1	1058.8	525
10290at5125	Complete	gene850.t1	804.9	446
102at5125	Complete	gene4.t1	4105.1	2267
10303at5125	Complete	gene851.t1	936.8	556
10317at5125	Duplicated	gene2789.t1	577.7	515
10317at5125	Duplicated	gene852.t1	652.0	520
10320at5125	Complete	gene853.t1	739.1	463
10325at5125	Missing
10345at5125	Complete	gene854.t1	998.2	534
10356at5125	Complete	gene855.t1	1122.5	512
10365at5125	Complete	gene856.t1	1007.5	510
10380at5125	Missing
10381at5125	Missing
10385at5125	Complete	gene857.t1	1078.0	622
10422at5125	Complete	gene858.t1	1041.8	1020
10442at5125	Complete	gene859.t1	1060.7	692
10453at5125	Complete	gene860.t1	1114.7	578
10490at5125	Missing
10507at5125	Complete	gene861.t1	722.9	580
10535at5125	Complete	gene862.t1	1050.5	513
10538at5125	Complete	gene863.t1	935.2	496
10546at5125	Missing
10558at5125	Complete	gene864.t1	950.0	534
10563at5125	Complete	gene865.t1	815.7	459
10565at5125	Complete	gene866.t1	1118.1	590
10579at5125	Complete	gene867.t1	1043.2	539
10595at5125	Complete	gene868.t1	327.3	496
10597at5125	Complete	gene869.t1	1121.9	627
10599at5125	Missing
10614at5125	Complete	gene870.t1	817.7	450
10624at5125	Missing
10627at5125	Complete	gene871.t1	1138.9	569
10629at5125	Complete	gene872.t1	1070.4	506
10646at5125	Complete	gene873.t1	1163.4	574
10652at5125	Complete	gene874.t1	776.8	580
10667at5125	Complete	gene875.t1	1180.5	592
10669at5125	Complete	gene876.t1	949.8	528
1066at5125	Complete	gene76.t1	2268.4	1203
10686at5125	Complete	gene877.t1	1043.7	499
1068at5125	Complete	gene77.t1	2250.0	1269
10718at5125	Complete	gene878.t1	1121.1	626
1071at5125	Complete	gene78.t1	2534.0	1295
10798at5125	Complete	gene879.t1	1010.1	591
1079at5125	Missing
10825at5125	Complete	gene880.t1	998.8	628
1083at5125	Complete	gene79.t1	2525.2	1305
10860at5125	Complete	gene881.t1	1082.3	592
10864at5125	Missing
10879at5125	Complete	gene882.t1	793.4	560
10880at5125	Complete	gene883.t1	914.0	653
10896at5125	Complete	gene884.t1	1025.8	540
10898at5125	Complete	gene885.t1	1116.9	600
10908at5125	Complete	gene886.t1	830.8	463
10912at5125	Complete	gene887.t1	1135.9	595
10921at5125	Complete	gene888.t1	1183.3	757
10923at5125	Complete	gene889.t1	803.2	477
10941at5125	Missing
10946at5125	Complete	gene890.t1	975.1	577
