!! Predictions spanning range 10294 - 129575 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 10294-12213 orient(-) score(577920.00) noncoding_equivalent(57.79) raw_noncoding(0.00) offset(0.00) 
12213	10294	single-	4	6	{GeneMark_model.457_t;GeneMark},{Augustus_model.g410.t1;Augustus},{GlimmerHMM_glimmerT_464-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.65 12966-13811 orient(+) score(170046.00) noncoding_equivalent(102982.00) raw_noncoding(121986.00) offset(19004.00) 
12966	13169	initial+	1	3	{GlimmerHMM_glimmerT_465-T1;GlimmerHMM},{GeneMark_model.458_t;GeneMark},{Augustus_model.g411.t1;Augustus}
13170	13253	INTRON			{GlimmerHMM_glimmerT_465-T1;GlimmerHMM},{GeneMark_model.458_t;GeneMark},{Augustus_model.g411.t1;Augustus}
13254	13559	internal+	1	3	{GlimmerHMM_glimmerT_465-T1;GlimmerHMM},{GeneMark_model.458_t;GeneMark},{Augustus_model.g411.t1;Augustus}
13560	13661	INTRON			{GlimmerHMM_glimmerT_465-T1;GlimmerHMM},{GeneMark_model.458_t;GeneMark},{Augustus_model.g411.t1;Augustus}
13662	13811	terminal+	1	3	{GlimmerHMM_glimmerT_465-T1;GlimmerHMM},{GeneMark_model.458_t;GeneMark},{Augustus_model.g411.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 6.28 15267-16884 orient(-) score(441918.00) noncoding_equivalent(70405.33) raw_noncoding(96556.00) offset(26150.67) 
16429	15267	terminal-	5	6	{GeneMark_model.459_t;GeneMark},{snap_scaffold_1-snap.500-T1;snap},{GlimmerHMM_glimmerT_466-T1;GlimmerHMM},{Augustus_model.g412.t1;Augustus}
16519	16430	INTRON			{GeneMark_model.459_t;GeneMark},{GlimmerHMM_glimmerT_466-T1;GlimmerHMM},{Augustus_model.g412.t1;Augustus}
16589	16520	internal-	4	4	{GeneMark_model.459_t;GeneMark},{GlimmerHMM_glimmerT_466-T1;GlimmerHMM},{Augustus_model.g412.t1;Augustus}
16755	16590	INTRON			{GeneMark_model.459_t;GeneMark},{GlimmerHMM_glimmerT_466-T1;GlimmerHMM},{Augustus_model.g412.t1;Augustus}
16884	16756	initial-	4	6	{GeneMark_model.459_t;GeneMark},{GlimmerHMM_glimmerT_466-T1;GlimmerHMM},{Augustus_model.g412.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 4.33 23127-24428 orient(+) score(339402.00) noncoding_equivalent(78339.38) raw_noncoding(104961.00) offset(26621.62) 
23127	23244	initial+	1	1	{GeneMark_model.460_t;GeneMark},{GlimmerHMM_glimmerT_468-T1;GlimmerHMM},{Augustus_model.g413.t1;Augustus}
23245	23396	INTRON			{GeneMark_model.460_t;GeneMark},{GlimmerHMM_glimmerT_468-T1;GlimmerHMM},{Augustus_model.g413.t1;Augustus}
23397	23551	internal+	2	3	{GeneMark_model.460_t;GeneMark},{GlimmerHMM_glimmerT_468-T1;GlimmerHMM},{Augustus_model.g413.t1;Augustus}
23552	23660	INTRON			{GeneMark_model.460_t;GeneMark},{GlimmerHMM_glimmerT_468-T1;GlimmerHMM},{Augustus_model.g413.t1;Augustus}
23661	24428	terminal+	1	3	{GeneMark_model.460_t;GeneMark},{GlimmerHMM_glimmerT_468-T1;GlimmerHMM},{Augustus_model.g413.t1;Augustus},{snap_scaffold_1-snap.501-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 4.31 25120-25998 orient(+) score(228024.00) noncoding_equivalent(52914.13) raw_noncoding(69416.13) offset(16502.00) 
25120	25243	initial+	1	1	{GeneMark_model.461_t;GeneMark},{GlimmerHMM_glimmerT_469-T1;GlimmerHMM},{Augustus_model.g414.t1;Augustus}
25244	25408	INTRON			{GeneMark_model.461_t;GeneMark},{GlimmerHMM_glimmerT_469-T1;GlimmerHMM},{Augustus_model.g414.t1;Augustus}
25409	25998	terminal+	2	3	{snap_scaffold_1-snap.502-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 2.54 26011-26721 orient(+) score(147897.00) noncoding_equivalent(58180.81) raw_noncoding(107103.41) offset(48922.60) 
26011	26017	initial+	1	1	{snap_scaffold_1-snap.503-T1;snap}
26018	26173	INTRON			{snap_scaffold_1-snap.503-T1;snap}
26174	26181	internal+	2	3	{snap_scaffold_1-snap.503-T1;snap}
26182	26224	INTRON			{snap_scaffold_1-snap.503-T1;snap}
26225	26490	internal+	1	2	{GeneMark_model.461_t;GeneMark},{GlimmerHMM_glimmerT_469-T1;GlimmerHMM},{Augustus_model.g414.t1;Augustus}
26491	26612	INTRON			{GeneMark_model.461_t;GeneMark},{GlimmerHMM_glimmerT_469-T1;GlimmerHMM},{Augustus_model.g414.t1;Augustus}
