# BUSCO version is: 5.5.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of genomes: 50, number of BUSCOs: 4494)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
26at5125	Complete	FUN_004195-T1	7866.7	3796	https://www.orthodb.org/v10?query=26at5125	Dynein heavy chain
30at5125	Complete	FUN_001180-T1	6872.2	4203	https://www.orthodb.org/v10?query=30at5125	Midasin
49at5125	Complete	FUN_000119-T1	6461.5	3231	https://www.orthodb.org/v10?query=49at5125	histone acetylase complex subunit
52at5125	Complete	FUN_001244-T1	5177.9	3083	https://www.orthodb.org/v10?query=52at5125	E3 ubiquitin ligase, domain of unknown function DUF908
78at5125	Complete	FUN_007343-T1	5288.6	2713	https://www.orthodb.org/v10?query=78at5125	Vacuolar protein sorting-associated protein
87at5125	Complete	FUN_004172-T1	4319.7	2550	https://www.orthodb.org/v10?query=87at5125	fermentation associated protein
102at5125	Complete	FUN_007867-T1	4042.6	2259	https://www.orthodb.org/v10?query=102at5125	FMP27, SW domain
133at5125	Complete	FUN_007810-T1	4462.9	2024	https://www.orthodb.org/v10?query=133at5125	Pre-mRNA processing splicing factor 8
141at5125	Complete	FUN_002605-T1	4312.5	2087	https://www.orthodb.org/v10?query=141at5125	FKBP12-rapamycin binding domain
142at5125	Complete	FUN_005076-T1	4080.7	2130	https://www.orthodb.org/v10?query=142at5125	WD40-repeat-containing domain
154at5125	Complete	FUN_005551-T1	3976.6	2444	https://www.orthodb.org/v10?query=154at5125	Serine/threonine-protein kinase Tel1
155at5125	Complete	FUN_008712-T1	3937.9	2221	https://www.orthodb.org/v10?query=155at5125	Ribosomal protein L19
168at5125	Complete	FUN_007749-T1	3429.1	2012	https://www.orthodb.org/v10?query=168at5125	Ras GTPase activator
171at5125	Complete	FUN_004326-T1	4055.6	2055	https://www.orthodb.org/v10?query=171at5125	transcriptional activator leucine zipper
178at5125	Complete	FUN_008230-T1	3972.9	1965	https://www.orthodb.org/v10?query=178at5125	Acetyl-CoA carboxylase
194at5125	Complete	FUN_006681-T1	3231.9	1859	https://www.orthodb.org/v10?query=194at5125	Armadillo-type fold protein
200at5125	Complete	FUN_003845-T1	4107.9	1889	https://www.orthodb.org/v10?query=200at5125	Glutamate synthase
203at5125	Complete	FUN_003977-T1	3897.0	1890	https://www.orthodb.org/v10?query=203at5125	fatty acid synthase beta subunit dehydratase
215at5125	Complete	FUN_002715-T1	3894.7	1904	https://www.orthodb.org/v10?query=215at5125	DNA polymerase epsilon catalytic subunit
