# BUSCO version is: 2.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of species: 50, number of BUSCOs: 4494)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.8/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/CordycepsGenomes/CordycepscateniannulataFRD24/FunannotatePredict/predict_misc/genome.softmasked.fa -o cordyceps_cateniannulata_frd24 -l /home/zack/funannotate_db/hypocreales_odb10/ -m genome -c 12 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
10002at5125	Complete	scaffold_5	3107548	3110145	1378.4	657
10007at5125	Complete	scaffold_6	338292	340745	990.4	646
10011at5125	Complete	scaffold_5	739890	742270	941.3	623
10012at5125	Complete	scaffold_2	490348	492783	873.5	558
10018at5125	Complete	scaffold_1	4255109	4257798	1025.4	715
10029at5125	Complete	scaffold_1	5215691	5217634	949.3	510
10042at5125	Complete	scaffold_2	3497074	3499138	911.5	551
10046at5125	Complete	scaffold_2	1732853	1735227	1047.9	557
10056at5125	Complete	scaffold_4	2255092	2257587	1073.4	632
10058at5125	Complete	scaffold_6	2718888	2726144	725.4	640
10061at5125	Complete	scaffold_3	2063868	2067360	822.4	712
10062at5125	Complete	scaffold_2	2233664	2237874	886.4	742
10086at5125	Complete	scaffold_3	2850989	2852782	903.0	495
10109at5125	Complete	scaffold_2	3921336	3923599	1066.0	577
10123at5125	Complete	scaffold_3	3443086	3445020	1010.2	498
10132at5125	Complete	scaffold_2	3241572	3244030	1281.5	662
10143at5125	Complete	scaffold_3	2584595	2586637	819.9	484
10152at5125	Complete	scaffold_1	587197	589128	866.4	457
10163at5125	Complete	scaffold_3	3488147	3490304	984.0	588
10164at5125	Complete	scaffold_6	1431658	1433710	1048.2	561
10167at5125	Complete	scaffold_4	1765694	1767663	911.9	510
10177at5125	Complete	scaffold_7	1171365	1174270	712.3	600
10181at5125	Complete	scaffold_7	739726	742547	863.9	509
10185at5125	Complete	scaffold_1	1741650	1745963	617.7	780
10188at5125	Complete	scaffold_6	2288677	2292610	956.5	927
1018at5125	Complete	scaffold_1	4258875	4264240	2483.3	1485
10190at5125	Complete	scaffold_3	3099723	3103214	1288.0	845
10241at5125	Complete	scaffold_7	1455482	1457950	769.1	608
10245at5125	Complete	scaffold_4	634196	640902	634.2	547
10250at5125	Complete	scaffold_1	2978933	2980108	458.6	286
10256at5125	Complete	scaffold_1	809933	812074	1073.4	536
1027at5125	Complete	scaffold_5	520018	525162	1546.5	1176
10280at5125	Complete	scaffold_3	1314547	1316702	1037.7	524
10290at5125	Complete	scaffold_7	1912981	1914702	775.4	452
102at5125	Complete	scaffold_2	737662	746577	4078.6	2266
10303at5125	Complete	scaffold_2	2199984	2202112	950.3	530
10317at5125	Complete	scaffold_4	1465459	1469153	611.7	538
10320at5125	Complete	scaffold_5	2431519	2434132	717.6	466
10325at5125	Complete	scaffold_8	1651970	1654027	911.5	526
10345at5125	Complete	scaffold_2	366705	369255	1005.4	531
10356at5125	Complete	scaffold_3	2518789	2521656	1112.0	512
10365at5125	Complete	scaffold_2	4365813	4367138	821.0	369
10380at5125	Complete	scaffold_4	2807412	2809868	908.1	596
10381at5125	Complete	scaffold_4	2934340	2938341	1154.9	724
10385at5125	Complete	scaffold_6	103345	105774	1048.2	615
10422at5125	Complete	scaffold_5	2586307	2589915	1009.7	916
10442at5125	Complete	scaffold_1	2940004	2942596	1018.9	688
10453at5125	Complete	scaffold_2	3791351	3793673	1087.2	598
10490at5125	Complete	scaffold_7	1562041	1565831	924.4	493
10507at5125	Complete	scaffold_1	2988865	2991521	715.9	578
10535at5125	Complete	scaffold_2	1984081	1986257	1058.6	513
10538at5125	Complete	scaffold_4	3847008	3849118	903.6	488
10546at5125	Complete	scaffold_1	3293207	3295566	526.1	376
10558at5125	Complete	scaffold_2	4290508	4292471	897.4	534
10563at5125	Complete	scaffold_6	1049860	1051875	823.8	460
10565at5125	Complete	scaffold_6	950131	954449	1063.2	574
10579at5125	Complete	scaffold_5	169534	171986	1055.6	542
10595at5125	Complete	scaffold_2	1823964	1825968	1017.9	505
10597at5125	Complete	scaffold_5	475945	478515	1111.7	606
10599at5125	Complete	scaffold_4	2249045	2251328	1134.0	689
10614at5125	Complete	scaffold_3	947134	954062	751.6	449
10624at5125	Complete	scaffold_7	1547965	1549911	928.2	568
10627at5125	Complete	scaffold_3	2338385	2340313	1132.9	569
10629at5125	Complete	scaffold_7	1445966	1447825	1069.7	506
10646at5125	Complete	scaffold_1	3916793	3918935	1148.9	582
10652at5125	Complete	scaffold_7	1667477	1669913	761.2	578
10667at5125	Complete	scaffold_3	2641049	2645125	1110.3	590
10669at5125	Complete	scaffold_1	2429406	2431402	940.4	530
1066at5125	Complete	scaffold_4	1430700	1435952	2134.5	1244
10686at5125	Complete	scaffold_7	1077773	1079611	1030.1	499
1068at5125	Complete	scaffold_1	4218182	4222886	2261.7	1227
10718at5125	Complete	scaffold_1	3056449	3058755	1105.3	606
1071at5125	Complete	scaffold_6	1565129	1569777	2484.6	1286
10798at5125	Complete	scaffold_4	3129030	3131925	1006.8	571
1079at5125	Complete	scaffold_6	2115713	2119786	2065.8	1124
10825at5125	Complete	scaffold_2	4205312	4208284	976.5	590
1083at5125	Complete	scaffold_4	862116	867977	2466.9	1314
10860at5125	Complete	scaffold_5	735604	738236	1109.3	602
10864at5125	Complete	scaffold_6	2517601	2519967	983.0	614
10879at5125	Complete	scaffold_3	4586809	4591022	759.8	503
10880at5125	Complete	scaffold_1	1652789	1655793	949.1	646
10896at5125	Complete	scaffold_3	3053752	3056002	1035.2	540
10898at5125	Complete	scaffold_5	803520	805968	1085.3	591
10908at5125	Complete	scaffold_4	1757697	1759517	824.6	462
10912at5125	Complete	scaffold_1	193042	195285	1145.7	606
10921at5125	Complete	scaffold_3	1055693	1058320	1122.3	777
10923at5125	Complete	scaffold_8	1708515	1710631	805.9	465
10941at5125	Complete	scaffold_6	3046093	3048486	961.9	535
10946at5125	Complete	scaffold_4	1500510	1502643	941.4	572
10959at5125	Complete	scaffold_4	2941403	2943268	973.8	522
10960at5125	Complete	scaffold_1	677312	679809	867.7	602
10999at5125	Complete	scaffold_2	3288963	3291358	1067.1	619
11007at5125	Complete	scaffold_7	2472987	2475867	868.3	789
11010at5125	Complete	scaffold_1	4649929	4652085	858.8	551
11017at5125	Complete	scaffold_1	4174349	4177204	564.0	659
11019at5125	Complete	scaffold_5	3662980	3666927	587.3	1008
1101at5125	Complete	scaffold_2	3948324	3953199	2764.3	1436
11029at5125	Complete	scaffold_3	2280248	2282451	955.9	568
11036at5125	Complete	scaffold_1	2284560	2286680	978.6	594
11039at5125	Complete	scaffold_7	2681084	2683552	418.7	489
1103at5125	Complete	scaffold_1	1526058	1531072	2469.5	1422
11041at5125	Complete	scaffold_5	3111447	3113769	1177.6	572
11048at5125	Complete	scaffold_5	3448582	3450351	869.1	479
11086at5125	Complete	scaffold_6	2513431	2516351	1238.0	696
11105at5125	Complete	scaffold_2	3569989	3572145	1255.0	594
11116at5125	Complete	scaffold_2	4380039	4382114	1006.1	527
11131at5125	Complete	scaffold_5	1831839	1834251	948.2	522
11148at5125	Complete	scaffold_3	1832907	1834772	902.3	493
11162at5125	Complete	scaffold_4	830627	835212	791.8	499
11163at5125	Complete	scaffold_2	2965428	2967661	901.3	559
11172at5125	Complete	scaffold_2	2783100	2785187	964.8	501
11177at5125	Complete	scaffold_3	4464935	4467493	702.7	392
11247at5125	Complete	scaffold_6	792028	795570	764.1	647
11253at5125	Complete	scaffold_8	314732	316521	1040.4	484
11279at5125	Complete	scaffold_1	5180634	5182564	713.8	492
1128at5125	Complete	scaffold_6	2598322	2602887	1734.0	1121
11307at5125	Complete	scaffold_4	3686301	3688495	614.8	365
1130at5125	Complete	scaffold_5	2364205	2368712	2252.8	1224
11316at5125	Complete	scaffold_1	4096283	4099052	889.3	684
11320at5125	Complete	scaffold_4	2802058	2804361	838.3	479
11326at5125	Complete	scaffold_3	3423935	3427505	923.3	771
11338at5125	Complete	scaffold_7	2721698	2723589	1029.1	509
11342at5125	Complete	scaffold_4	2379855	2381883	727.0	478
11358at5125	Complete	scaffold_6	2421277	2424301	1052.9	709
11365at5125	Complete	scaffold_3	1713472	1714629	572.8	299
11367at5125	Complete	scaffold_3	2355053	2357025	1212.1	576
11369at5125	Complete	scaffold_5	3200016	3201960	1044.0	539
11382at5125	Complete	scaffold_1	2841556	2843630	990.7	567
11383at5125	Complete	scaffold_2	878847	882320	834.4	449
11392at5125	Complete	scaffold_3	1727643	1730300	889.3	507
11423at5125	Complete	scaffold_1	4230243	4232145	1149.1	554
11431at5125	Complete	scaffold_5	3714657	3716768	344.3	428
11443at5125	Complete	scaffold_5	3346927	3348856	980.7	495
11454at5125	Complete	scaffold_7	2421197	2423275	1015.9	551
11461at5125	Complete	scaffold_4	2030222	2031945	324.0	325
11467at5125	Complete	scaffold_4	3850809	3852734	641.1	542
11471at5125	Complete	scaffold_2	2974338	2977284	1111.5	692
11477at5125	Complete	scaffold_5	2407581	2409856	1111.2	554
1147at5125	Complete	scaffold_2	2564918	2570242	2082.4	1296
11481at5125	Duplicated	scaffold_1	1077511	1079330	870.1	478
11481at5125	Duplicated	scaffold_13	42518	44340	830.9	477
11498at5125	Complete	scaffold_1	1965512	1968514	956.5	658
11513at5125	Complete	scaffold_8	1002646	1004640	808.6	459
11517at5125	Complete	scaffold_7	1693376	1695403	1022.7	513
11525at5125	Complete	scaffold_3	3091743	3094202	728.7	599
11536at5125	Complete	scaffold_5	2658166	2660124	768.1	478
11537at5125	Complete	scaffold_4	1164668	1166875	880.9	463
11604at5125	Complete	scaffold_5	3602057	3606221	1126.5	588
11608at5125	Complete	scaffold_1	2144166	2146527	956.3	594
11622at5125	Complete	scaffold_1	3198553	3200833	666.3	542
11669at5125	Complete	scaffold_4	2644098	2645998	850.8	491
11700at5125	Complete	scaffold_6	3277516	3279856	885.3	593
11704at5125	Complete	scaffold_2	251094	256230	737.5	500
11707at5125	Complete	scaffold_2	3586914	3589421	462.7	706
11752at5125	Complete	scaffold_1	4265948	4268825	1114.5	628
11758at5125	Complete	scaffold_1	426189	428832	1132.0	621
11795at5125	Complete	scaffold_8	768792	773204	829.9	520
1179at5125	Complete	scaffold_5	318952	324359	2183.3	1408
11807at5125	Complete	scaffold_3	2882109	2884351	1035.0	608
11809at5125	Complete	scaffold_1	4865078	4867420	888.4	501
11812at5125	Complete	scaffold_4	3447112	3449486	1023.4	601
1181at5125	Complete	scaffold_6	419543	424530	2395.8	1228
1182at5125	Complete	scaffold_5	659410	664092	2032.2	1397
1187at5125	Complete	scaffold_6	1385934	1390005	2368.9	1121
11888at5125	Complete	scaffold_5	3598771	3601106	1095.9	618
11898at5125	Complete	scaffold_1	4306309	4308385	970.4	554
11902at5125	Complete	scaffold_8	1966265	1968557	898.0	534
11908at5125	Complete	scaffold_6	1177100	1180274	897.4	602
11937at5125	Complete	scaffold_2	4175547	4177447	828.1	451
11947at5125	Complete	scaffold_1	5102783	5106019	596.4	790
11953at5125	Complete	scaffold_3	1264973	1266872	764.5	506
11955at5125	Complete	scaffold_7	1277715	1279821	810.1	485
11960at5125	Complete	scaffold_6	1571146	1573020	907.0	490
11961at5125	Complete	scaffold_4	382613	384423	1068.1	496
11969at5125	Complete	scaffold_2	4125314	4128008	1058.1	536
11971at5125	Complete	scaffold_1	1176510	1178506	891.8	493
1198at5125	Complete	scaffold_6	1881563	1886746	1838.5	1304
11992at5125	Complete	scaffold_2	1419788	1421713	1019.8	499
11997at5125	Complete	scaffold_2	3142086	3144924	887.8	502
12010at5125	Complete	scaffold_1	3903143	3908379	649.4	470
12046at5125	Complete	scaffold_8	2096909	2099884	1070.3	840
12091at5125	Complete	scaffold_4	754100	756724	1037.2	664
12092at5125	Complete	scaffold_3	1976037	1978577	797.0	448
1210at5125	Complete	scaffold_6	1860767	1865253	1937.7	1134
12112at5125	Complete	scaffold_5	1449361	1451756	1157.2	648
12153at5125	Complete	scaffold_2	4230024	4232003	898.8	457
12154at5125	Complete	scaffold_6	2277644	2280019	1058.8	504
12162at5125	Complete	scaffold_1	2423359	2425779	744.5	486
12169at5125	Complete	scaffold_8	967878	969914	1024.3	556
12190at5125	Complete	scaffold_4	2656270	2658243	1048.1	541
12196at5125	Complete	scaffold_2	2230558	2232909	1109.9	636
12199at5125	Complete	scaffold_1	5026976	5028884	875.0	514
12207at5125	Complete	scaffold_3	1602454	1605078	724.9	589
1220at5125	Complete	scaffold_6	468655	473536	2391.1	1241
12220at5125	Complete	scaffold_5	3074905	3076693	990.6	462
12239at5125	Complete	scaffold_2	3541614	3543646	1096.8	555
1224at5125	Complete	scaffold_7	2342392	2347154	2228.6	1191
1225at5125	Complete	scaffold_2	2047659	2056531	2324.0	1204
12271at5125	Complete	scaffold_2	938648	940882	1064.9	571
12295at5125	Complete	scaffold_2	3270469	3297998	717.7	452
12301at5125	Complete	scaffold_7	1853657	1855580	900.2	489
12311at5125	Complete	scaffold_3	3795813	3797435	948.9	467
12321at5125	Complete	scaffold_3	3172798	3175392	1188.7	683
12325at5125	Complete	scaffold_7	2585766	2588114	795.0	531
12360at5125	Complete	scaffold_5	3699633	3702005	970.6	645
12363at5125	Complete	scaffold_3	878035	880651	811.2	467
12395at5125	Complete	scaffold_5	1685127	1687939	785.8	488
12396at5125	Complete	scaffold_2	3936612	3938601	813.2	471
12398at5125	Complete	scaffold_1	3689966	3692760	605.4	597
12400at5125	Complete	scaffold_5	2926964	2928987	974.6	532
1240at5125	Complete	scaffold_1	4364224	4374016	1322.0	1062
12416at5125	Complete	scaffold_1	1138707	1140351	1019.8	485
12437at5125	Complete	scaffold_3	3121387	3123724	676.1	481
12438at5125	Complete	scaffold_8	1254368	1256729	792.6	464
12441at5125	Complete	scaffold_5	2389205	2391841	938.1	587
12460at5125	Complete	scaffold_5	1713107	1714770	761.8	419
12464at5125	Complete	scaffold_4	2056743	2058825	1091.7	585
12479at5125	Complete	scaffold_4	458511	461509	963.4	456
12491at5125	Complete	scaffold_3	3745939	3748949	798.1	513
12515at5125	Complete	scaffold_7	2695291	2698410	553.3	447
12522at5125	Complete	scaffold_2	460797	462965	1025.1	593
12543at5125	Complete	scaffold_8	1033362	1035204	998.5	506
12559at5125	Complete	scaffold_1	3817081	3819204	1052.9	509
1255at5125	Complete	scaffold_2	1081305	1085417	2374.0	1363
12560at5125	Complete	scaffold_1	3480682	3483117	843.8	590
12567at5125	Complete	scaffold_3	1509907	1512090	888.4	591
12650at5125	Complete	scaffold_4	2120188	2122308	709.6	401
12665at5125	Complete	scaffold_5	2936520	2938046	359.4	343
12666at5125	Complete	scaffold_3	2546740	2548642	1021.2	500
12677at5125	Complete	scaffold_2	4541574	4543475	773.2	479
12687at5125	Complete	scaffold_5	2267719	2269605	775.4	466
