# BUSCO version is: 2.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of species: 50, number of BUSCOs: 4494)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.9/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/CordycepsGenomes/CordycepscateniannulataFRD24/FunannotatePredict/annotate_misc/genome.proteins.fasta -o busco -l /home/zack/funannotate_db/hypocreales_odb10/ -m proteins -c 6 -sp aspergillus_nidulans
#
# Busco id	Status	Sequence	Score	Length
10002at5125	Complete	FRD24_007417-T1	1368.0	655
10007at5125	Complete	FRD24_007785-T1	990.4	646
10011at5125	Complete	FRD24_006674-T1	941.3	623
10012at5125	Complete	FRD24_001906-T1	873.5	558
10018at5125	Complete	FRD24_001379-T1	1025.6	705
10029at5125	Complete	FRD24_001673-T1	949.3	510
10042at5125	Complete	FRD24_002910-T1	911.5	551
10046at5125	Complete	FRD24_002317-T1	1047.9	557
10056at5125	Complete	FRD24_005777-T1	1073.4	632
10058at5125	Complete	FRD24_008588-T1	726.1	638
10061at5125	Complete	FRD24_004069-T1	821.8	712
10062at5125	Complete	FRD24_002480-T1	882.8	739
10086at5125	Complete	FRD24_004322-T1	903.0	495
10109at5125	Complete	FRD24_003043-T1	1066.0	577
10123at5125	Complete	FRD24_004509-T1	1010.2	498
10132at5125	Complete	FRD24_002834-T1	1281.5	662
10143at5125	Complete	FRD24_004238-T1	819.9	484
10152at5125	Complete	FRD24_000191-T1	866.4	456
10163at5125	Complete	FRD24_004522-T1	782.9	496
10164at5125	Complete	FRD24_008168-T1	1048.2	561
10167at5125	Complete	FRD24_005617-T1	910.9	510
10177at5125	Complete	FRD24_009249-T1	712.3	600
10181at5125	Complete	FRD24_009105-T1	863.9	509
10185at5125	Complete	FRD24_000586-T1	617.7	780
10188at5125	Complete	FRD24_008451-T1	956.5	927
1018at5125	Complete	FRD24_001380-T1	2483.3	1485
10190at5125	Complete	FRD24_004397-T1	1288.0	845
10241at5125	Complete	FRD24_009332-T1	769.1	608
10245at5125	Complete	FRD24_005216-T1	747.5	564
10250at5125	Complete	FRD24_000972-T1	458.6	286
10256at5125	Complete	FRD24_000266-T1	1071.2	537
1027at5125	Complete	FRD24_006607-T1	1516.5	1178
10280at5125	Complete	FRD24_003812-T1	1037.7	524
10290at5125	Complete	FRD24_009486-T1	807.4	467
102at5125	Missing
10303at5125	Complete	FRD24_002468-T1	867.0	487
10317at5125	Complete	FRD24_005504-T1	613.7	514
10320at5125	Complete	FRD24_007204-T1	717.6	466
10325at5125	Complete	FRD24_010250-T1	911.5	526
10345at5125	Complete	FRD24_001862-T1	1005.4	531
10356at5125	Complete	FRD24_004219-T1	1112.0	512
10365at5125	Complete	FRD24_003206-T1	821.0	369
10380at5125	Complete	FRD24_005964-T1	921.2	585
10381at5125	Complete	FRD24_006005-T1	1030.4	647
10385at5125	Complete	FRD24_007697-T1	1048.2	615
