# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/Epichloefestucae_ROSECITY/FunannotatePredict/annotate_misc/genome.proteins.fasta -o busco -l /home/zack/funannotate_db/dikarya/ -m proteins -c 12 -sp aspergillus_nidulans
#
# Busco id	Status	Sequence	Score	Length
EOG0926004Z	Complete	FUN_004597-T1	3283.2	3037
EOG09260075	Missing
EOG0926009O	Complete	FUN_005885-T1	1714.8	1731
EOG092600NM	Complete	FUN_002802-T1	3971.6	2045
EOG092600S9	Complete	FUN_006611-T1	1453.3	1540
EOG092600SD	Complete	FUN_003149-T1	1188.1	1214
EOG092600SK	Complete	FUN_001041-T1	1154.7	1107
EOG092600T4	Complete	FUN_006924-T1	3269.9	1828
EOG092600T9	Complete	FUN_000136-T1	3231.2	1781
EOG092600W1	Complete	FUN_006362-T1	2615.5	1586
EOG092600X0	Complete	FUN_001626-T1	1183.6	1022
EOG092600XJ	Complete	FUN_003790-T1	1474.9	1191
EOG092601KZ	Missing
EOG092601YK	Complete	FUN_001529-T1	1723.5	1549
EOG0926025H	Complete	FUN_005261-T1	410.4	592
EOG09260274	Complete	FUN_002575-T1	658.5	699
EOG09260289	Complete	FUN_001778-T1	804.4	792
EOG092602BZ	Complete	FUN_002491-T1	2530.9	1444
EOG092602FH	Complete	FUN_002230-T1	1316.3	896
EOG092602I6	Complete	FUN_004912-T1	1929.2	1281
EOG092602MO	Missing
EOG092602OP	Complete	FUN_005936-T1	1091.1	975
EOG092602UY	Complete	FUN_005191-T1	1654.2	1217
EOG09260375	Complete	FUN_002109-T1	1266.5	922
EOG092603D0	Complete	FUN_005146-T1	1265.6	964
EOG092603EH	Complete	FUN_005925-T1	1324.4	856
EOG092603JK	Complete	FUN_005900-T1	692.6	1095
EOG092603KJ	Complete	FUN_005888-T1	1098.7	720
EOG092603SM	Complete	FUN_001049-T1	421.7	564
EOG092603YJ	Complete	FUN_002762-T1	1158.6	1329
EOG0926047G	Complete	FUN_005199-T1	1797.0	1094
EOG09260492	Missing
EOG0926049A	Complete	FUN_000400-T1	641.7	715
EOG0926049S	Complete	FUN_006372-T1	866.4	778
EOG092604A0	Complete	FUN_001514-T1	655.7	889
EOG092604I8	Complete	FUN_001505-T1	771.7	796
EOG092604KQ	Complete	FUN_001731-T1	745.4	950
EOG092604MJ	Complete	FUN_004029-T1	874.9	1029
EOG092604ML	Complete	FUN_005886-T1	680.1	919
EOG092604S1	Complete	FUN_000161-T1	294.5	391
EOG092604ZZ	Complete	FUN_000322-T1	675.2	741
EOG0926051U	Complete	FUN_004602-T1	870.3	979
EOG092605FC	Complete	FUN_004547-T1	1019.7	786
EOG092605KN	Complete	FUN_006367-T1	947.0	733
EOG092605OK	Complete	FUN_001686-T1	1731.3	1236
EOG092605QM	Complete	FUN_004475-T1	883.3	1020
EOG092605T6	Missing
EOG092605VL	Complete	FUN_002539-T1	801.8	784
EOG092605VU	Complete	FUN_006722-T1	369.1	642
EOG092605ZA	Complete	FUN_001157-T1	348.3	426
EOG092606AD	Complete	FUN_000301-T1	177.6	218
EOG092606AJ	Missing
EOG092606CY	Complete	FUN_002182-T1	1099.8	1084
EOG092606O3	Complete	FUN_006601-T1	966.4	647
EOG092606UX	Complete	FUN_002549-T1	966.0	902
EOG092606WZ	Complete	FUN_002409-T1	974.9	1184
EOG0926071Q	Complete	FUN_004226-T1	831.9	924
EOG0926073O	Complete	FUN_001339-T1	1395.0	937
EOG0926074Y	Complete	FUN_000401-T1	1536.1	956
EOG09260779	Complete	FUN_005496-T1	1070.6	1075
EOG0926077L	Complete	FUN_003186-T1	333.6	575
EOG0926079Q	Complete	FUN_002681-T1	1282.4	878
EOG092607OQ	Complete	FUN_004585-T1	878.4	754
EOG092607QZ	Complete	FUN_004620-T1	1107.8	781
EOG092607ZS	Complete	FUN_004495-T1	1234.0	871
EOG092608AE	Complete	FUN_001144-T1	1022.2	905
EOG092608AV	Complete	FUN_004183-T1	992.3	845
EOG092608C4	Missing
EOG092608GK	Complete	FUN_004225-T1	444.1	1008
EOG092608L0	Complete	FUN_002875-T1	1573.0	908
EOG092608RH	Complete	FUN_000353-T1	593.1	976
EOG092608T8	Complete	FUN_006724-T1	1316.4	737
EOG092608WI	Complete	FUN_003549-T1	610.5	518
EOG092608WU	Complete	FUN_004648-T1	662.2	784
EOG092608ZS	Complete	FUN_001691-T1	1204.1	791
EOG0926092K	Duplicated	FUN_002263-T1	1453.3	906
EOG0926092K	Duplicated	FUN_005246-T1	1595.8	906
