#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FUN_004388-T1        -           1273 3744at5125           -            908         0 1605.1  52.2   1   5   1.7e-57   1.7e-54  184.0   2.4     1   108    39   153    39   171 0.94 FUN_004388
FUN_004388-T1        -           1273 3744at5125           -            908         0 1605.1  52.2   2   5     5e-93     5e-90  301.6   0.5   108   285   182   362   178   383 0.94 FUN_004388
FUN_004388-T1        -           1273 3744at5125           -            908         0 1605.1  52.2   3   5   4.3e-10   4.4e-07   27.1   0.5   290   321   509   542   472   580 0.69 FUN_004388
FUN_004388-T1        -           1273 3744at5125           -            908         0 1605.1  52.2   4   5  3.7e-265  3.8e-262  871.2  23.2   332   784   595  1070   579  1090 0.96 FUN_004388
FUN_004388-T1        -           1273 3744at5125           -            908         0 1605.1  52.2   5   5   7.4e-74   7.5e-71  238.2   0.2   780   908  1140  1273  1133  1273 0.96 FUN_004388
FUN_008426-T1        -            886 3744at5125           -            908  5.9e-130  433.7  19.4   1   2   1.7e-33   1.7e-30  104.6   0.4    11   247    36   281    29   304 0.86 FUN_008426
FUN_008426-T1        -            886 3744at5125           -            908  5.9e-130  433.7  19.4   2   2  1.2e-101   1.2e-98  330.1  13.0   338   894   304   871   296   884 0.83 FUN_008426
FUN_007204-T1        -           1044 3744at5125           -            908  2.9e-114  381.8   4.5   1   2  6.9e-115    7e-112  373.9   2.7    14   781    68   846    57   857 0.83 FUN_007204
FUN_007204-T1        -           1044 3744at5125           -            908  2.9e-114  381.8   4.5   2   2   0.00055      0.56    6.9   0.0   845   872   985  1012   975  1042 0.80 FUN_007204
FUN_007248-T1        -           1023 3744at5125           -            908   5.8e-24   83.0  18.1   1   2   1.3e-14   1.4e-11   42.1   0.5     6   212    40   260    35   287 0.76 FUN_007248
FUN_007248-T1        -           1023 3744at5125           -            908   5.8e-24   83.0  18.1   2   2   1.8e-15   1.8e-12   45.0  11.5   366   756   310   720   291   740 0.74 FUN_007248
FUN_009122-T1        -            883 3744at5125           -            908   9.6e-22   75.6  11.6   1   3   6.9e-06     0.007   13.2   0.1    57   103    82   130    28   160 0.75 FUN_009122
FUN_009122-T1        -            883 3744at5125           -            908   9.6e-22   75.6  11.6   2   3    0.0041       4.1    4.0   0.0   144   259   200   313   167   331 0.72 FUN_009122
FUN_009122-T1        -            883 3744at5125           -            908   9.6e-22   75.6  11.6   3   3   1.8e-19   1.8e-16   58.2   8.1   363   757   359   761   346   781 0.79 FUN_009122
FUN_007609-T1        -           1203 3744at5125           -            908      0.16    8.7   8.4   1   2   3.6e-06    0.0036   14.2   0.6   482   575    53   151    48   201 0.74 FUN_007609
FUN_007609-T1        -           1203 3744at5125           -            908      0.16    8.7   8.4   2   2      0.35   3.5e+02   -2.3   1.8   492   555   660   724   648   753 0.75 FUN_007609
FUN_003428-T1        -            653 3744at5125           -            908       1.2    5.8   9.0   1   1    0.0018       1.8    5.3   9.0   225   293   570   636   552   645 0.76 FUN_003428
FUN_004010-T1        -            432 3744at5125           -            908       7.7    3.2   5.6   1   1      0.01        11    2.7   5.6   213   327    50   182    36   194 0.48 FUN_004010
FUN_001486-T1        -            957 3744at5125           -            908       8.3    3.0   6.7   1   1     0.013        13    2.4   6.7   233   290   450   507   430   512 0.79 FUN_001486
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/3744at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Trichoderma_reesei_QM6a.proteins.fa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Treesei_QM6a/run_hypocreales_odb10/hmmer_output/initial_run_results/3744at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/3744at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Trichoderma_reesei_QM6a.proteins.fa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:42:35 2024
# [ok]
