!! Predictions spanning range 4209 - 82214 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 147.29 4209-6425 orient(+) score(662817.00) noncoding_equivalent(4500.00) raw_noncoding(4500.00) offset(0.00) 
4209	6425	single+	1	3	{Augustus_model.g5216.t1;Augustus},{GlimmerHMM_glimmerT_7762-T1;GlimmerHMM},{GeneMark_model.6644_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 18.29 8683-10877 orient(+) score(660695.00) noncoding_equivalent(36120.00) raw_noncoding(36722.00) offset(602.00) 
8683	9285	initial+	1	3	{snap_scaffold_14-snap.67-T1;snap},{GlimmerHMM_glimmerT_7763-T1;GlimmerHMM},{GeneMark_model.6645_t;GeneMark}
9286	9407	INTRON			{snap_scaffold_14-snap.67-T1;snap},{Augustus_model.g5217.t1;Augustus},{GlimmerHMM_glimmerT_7763-T1;GlimmerHMM},{GeneMark_model.6645_t;GeneMark}
9408	10877	terminal+	1	3	{snap_scaffold_14-snap.67-T1;snap},{Augustus_model.g5217.t1;Augustus},{GlimmerHMM_glimmerT_7763-T1;GlimmerHMM},{GeneMark_model.6645_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.62 11527-12053 orient(-) score(158627.00) noncoding_equivalent(60501.00) raw_noncoding(61103.00) offset(602.00) 
11818	11527	terminal-	6	6	{snap_scaffold_14-snap.68-T1;snap},{GlimmerHMM_glimmerT_7764-T1;GlimmerHMM},{Augustus_model.g5218.t1;Augustus},{GeneMark_model.6646_t;GeneMark}
12021	11819	INTRON			{snap_scaffold_14-snap.68-T1;snap},{GlimmerHMM_glimmerT_7764-T1;GlimmerHMM},{Augustus_model.g5218.t1;Augustus},{GeneMark_model.6646_t;GeneMark}
12053	12022	initial-	4	5	{snap_scaffold_14-snap.68-T1;snap},{GlimmerHMM_glimmerT_7764-T1;GlimmerHMM},{Augustus_model.g5218.t1;Augustus},{GeneMark_model.6646_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 7.04 12967-15177 orient(+) score(665511.00) noncoding_equivalent(94514.00) raw_noncoding(95718.00) offset(1204.00) 
