#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
EGX89209.1           -            680 13255at5125          -            563         0 1025.4  33.0   1   3   2.8e-99   6.9e-96  321.2   0.4     1   176     7   190     7   192 0.96 oligonucleotide transporter [Cordyceps militaris CM01]
EGX89209.1           -            680 13255at5125          -            563         0 1025.4  33.0   2   3   3.6e-77   8.8e-74  248.2   7.9   170   296   211   337   203   348 0.97 oligonucleotide transporter [Cordyceps militaris CM01]
EGX89209.1           -            680 13255at5125          -            563         0 1025.4  33.0   3   3    3e-143  7.2e-140  466.4  10.6   296   563   399   679   395   679 0.94 oligonucleotide transporter [Cordyceps militaris CM01]
EGX89608.1           -            929 13255at5125          -            563   9.9e-45  152.3  33.0   1   3   4.2e-29     1e-25   89.5   9.7     4   254   243   502   240   511 0.76 oligopeptide transporter [Cordyceps militaris CM01]
EGX89608.1           -            929 13255at5125          -            563   9.9e-45  152.3  33.0   2   3      0.13   3.1e+02   -1.2   1.2   245   288   524   564   519   570 0.84 oligopeptide transporter [Cordyceps militaris CM01]
EGX89608.1           -            929 13255at5125          -            563   9.9e-45  152.3  33.0   3   3   1.2e-24   2.9e-21   74.8   6.9   307   555   634   907   606   914 0.75 oligopeptide transporter [Cordyceps militaris CM01]
EGX93803.1           -            753 13255at5125          -            563   8.4e-39  132.7  24.4   1   2     7e-25   1.7e-21   75.6  11.8     4   279    63   354    60   358 0.74 oligopeptide transporter [Cordyceps militaris CM01]
EGX93803.1           -            753 13255at5125          -            563   8.4e-39  132.7  24.4   2   2   5.3e-21   1.3e-17   62.8   4.7   298   513   447   677   434   735 0.79 oligopeptide transporter [Cordyceps militaris CM01]
EGX94287.1           -            820 13255at5125          -            563   1.3e-37  128.9  34.7   1   2     7e-24   1.7e-20   72.3  16.6     3   261    47   306    45   315 0.82 oligopeptide transporter [Cordyceps militaris CM01]
EGX94287.1           -            820 13255at5125          -            563   1.3e-37  128.9  34.7   2   2   9.5e-21   2.3e-17   62.0  10.1   307   491   419   614   402   692 0.68 oligopeptide transporter [Cordyceps militaris CM01]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/13255at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cmilitaris_CM01.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cmilitaris_CM01/run_hypocreales_odb10/hmmer_output/initial_run_results/13255at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/13255at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cmilitaris_CM01.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:13:15 2024
# [ok]
