!! Predictions spanning range 61 - 2978 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 52.34 61-1101 orient(+) score(307467.00) noncoding_equivalent(5874.22) raw_noncoding(5874.22) offset(0.00) 
61	1101	terminal+	1	3	{snap_scaffold_680-snap.1-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 2.63 1715-2978 orient(+) score(360764.00) noncoding_equivalent(137431.74) raw_noncoding(157414.00) offset(19982.26) 
1715	1738	initial+	1	3	{GlimmerHMM_glimmerT_11204-T1;GlimmerHMM},{snap_scaffold_680-snap.2-T1;snap},{GeneMark_model.11010_t;GeneMark}
1739	1863	INTRON			{GlimmerHMM_glimmerT_11204-T1;GlimmerHMM},{snap_scaffold_680-snap.2-T1;snap},{Augustus_model.g9262.t1;Augustus},{GeneMark_model.11010_t;GeneMark}
1864	1929	internal+	1	3	{GlimmerHMM_glimmerT_11204-T1;GlimmerHMM},{snap_scaffold_680-snap.2-T1;snap},{Augustus_model.g9262.t1;Augustus},{GeneMark_model.11010_t;GeneMark}
1930	2032	INTRON			{GlimmerHMM_glimmerT_11204-T1;GlimmerHMM},{snap_scaffold_680-snap.2-T1;snap},{Augustus_model.g9262.t1;Augustus},{GeneMark_model.11010_t;GeneMark}
2033	2205	internal+	1	2	{GlimmerHMM_glimmerT_11204-T1;GlimmerHMM},{snap_scaffold_680-snap.2-T1;snap},{Augustus_model.g9262.t1;Augustus},{GeneMark_model.11010_t;GeneMark}
2206	2259	INTRON			{snap_scaffold_680-snap.2-T1;snap},{Augustus_model.g9262.t1;Augustus},{GeneMark_model.11010_t;GeneMark}
2260	2282	internal+	3	1	{snap_scaffold_680-snap.2-T1;snap},{Augustus_model.g9262.t1;Augustus},{GeneMark_model.11010_t;GeneMark}
2283	2398	INTRON			{snap_scaffold_680-snap.2-T1;snap},{Augustus_model.g9262.t1;Augustus},{GeneMark_model.11010_t;GeneMark}
2399	2519	internal+	2	2	{snap_scaffold_680-snap.2-T1;snap},{Augustus_model.g9262.t1;Augustus},{GeneMark_model.11010_t;GeneMark}
2520	2574	INTRON			{GlimmerHMM_glimmerT_11204-T1;GlimmerHMM},{snap_scaffold_680-snap.2-T1;snap},{Augustus_model.g9262.t1;Augustus},{GeneMark_model.11010_t;GeneMark}
2575	2727	internal+	3	2	{GlimmerHMM_glimmerT_11204-T1;GlimmerHMM},{snap_scaffold_680-snap.2-T1;snap},{Augustus_model.g9262.t1;Augustus},{GeneMark_model.11010_t;GeneMark}
2728	2788	INTRON			{GlimmerHMM_glimmerT_11204-T1;GlimmerHMM},{snap_scaffold_680-snap.2-T1;snap},{Augustus_model.g9262.t1;Augustus},{GeneMark_model.11010_t;GeneMark}
2789	2978	internal+	3	3	{snap_scaffold_680-snap.2-T1;snap},{GeneMark_model.11010_t;GeneMark}

